subtopic,usage_count,total_usage,cumulative_usage,cumulative_percentage
stale-air,967,4183374,4027878,96.28
crowded-beach,959,4183374,4028837,96.31
great-shuttle,949,4183374,4029786,96.33
beautiful-lobby,945,4183374,4030731,96.35
great-dinner,938,4183374,4031669,96.37
rude-manager,927,4183374,4032596,96.40
neglected-garden,923,4183374,4033519,96.42
modern-amenity,920,4183374,4034439,96.44
great-attraction,916,4183374,4035355,96.46
great-maintenance,914,4183374,4037183,96.51
unpleasant-atmosphere,914,4183374,4037183,96.51
pleasant-surprise,910,4183374,4038093,96.53
poor-decor,907,4183374,4039000,96.55
dirty-hostel,906,4183374,4039906,96.57
fast-wifi,895,4183374,4040801,96.59
cold-tub,894,4183374,4041695,96.61
weak-coffee,891,4183374,4042586,96.63
dirty-cup,889,4183374,4043475,96.66
beautiful-spa,885,4183374,4044360,96.68
dim-light,872,4183374,4046104,96.72
old-resort,872,4183374,4046104,96.72
dirty-table,868,4183374,4046972,96.74
comfortable-pillow,865,4183374,4047837,96.76
noisy-fridge,855,4183374,4048692,96.78
unhappy-customer,851,4183374,4049543,96.80
staff-monolingual,847,4183374,4050390,96.82
great-decoration,837,4183374,4052064,96.86
rude-guide,837,4183374,4052064,96.86
bad-stay,824,4183374,4053712,96.90
great-music,824,4183374,4053712,96.90
great-inclusive,812,4183374,4054524,96.92
eco-friendly,808,4183374,4055332,96.94
local-food,804,4183374,4056136,96.96
great-party,802,4183374,4057740,97.00
modern-design,802,4183374,4057740,97.00
free-shuttle,794,4183374,4058534,97.02
great-housekeeping,792,4183374,4059326,97.03
scarce-outlet,788,4183374,4060114,97.05
dirty-dish,787,4183374,4060901,97.07
friendly-concierge,786,4183374,4061687,97.09
exclusive-perk,784,4183374,4063255,97.13
expensive-spa,784,4183374,4063255,97.13
small-spa,783,4183374,4064038,97.15
modern-bathroom,775,4183374,4064813,97.17
great-lounge,773,4183374,4065586,97.18
knowledgeable-guide,768,4183374,4066354,97.20
live-entertainment,767,4183374,4067121,97.22
cold-meal,766,4183374,4067887,97.24
thin-pillow,765,4183374,4068652,97.26
available-lounger,759,4183374,4069411,97.28
negative-review,745,4183374,4070156,97.29
clean-shower,744,4183374,4070900,97.31
clean-sand,743,4183374,4071643,97.33
cold-beer,736,4183374,4072379,97.35
hot-spring,735,4183374,4073114,97.36
great-sleep,734,4183374,4073848,97.38
wheelchair-absent,723,4183374,4074571,97.40
friendly-smile,722,4183374,4075293,97.42
expensive-activity,720,4183374,4076013,97.43
dinner-tasteless,716,4183374,4076729,97.45
dirty-plate,714,4183374,4077443,97.47
small-snack,712,4183374,4078155,97.48
poor-help,706,4183374,4078861,97.50
great-beer,702,4183374,4079563,97.52
slow-transportation,701,4183374,4080264,97.54
accesible-wifi,697,4183374,4080961,97.55
friendly-desk,695,4183374,4081656,97.57
bright-light,693,4183374,4082349,97.59
large-portion,689,4183374,4083038,97.60
beautiful-balcony,681,4183374,4083719,97.62
rude-concierge,676,4183374,4084395,97.63
efficient-housekeeping,675,4183374,4085070,97.65
disorganized-event,671,4183374,4085741,97.67
great-expectation,665,4183374,4086406,97.68
great-feature,664,4183374,4087070,97.70
pleasant-music,659,4183374,4087729,97.71
complete-renovation,655,4183374,4088384,97.73
bland-taste,648,4183374,4089032,97.74
fun-show,643,4183374,4089675,97.76
great-ac,642,4183374,4090959,97.79
unresponsive-manager,642,4183374,4090959,97.79
boring-entertainment,641,4183374,4091600,97.81
fun-game,639,4183374,4092239,97.82
informative-tour,638,4183374,4092877,97.84
basic-gym,636,4183374,4093513,97.85
dirty-tile,634,4183374,4094147,97.87
rude-worker,622,4183374,4094769,97.88
charger-absent,620,4183374,4095389,97.90
major-complaint,616,4183374,4096005,97.91
infrequent-housekeeping,614,4183374,4096619,97.93
boring-activity,610,4183374,4097229,97.94
convenient-entrance,608,4183374,4097837,97.96
great-game,607,4183374,4098444,97.97
hot-coffee,598,4183374,4099042,97.98
small-bar,597,4183374,4099639,98.00
great-lighting,596,4183374,4100831,98.03
little-attention,596,4183374,4100831,98.03
clean-water,587,4183374,4101418,98.04
fresh-food,583,4183374,4102001,98.05
cramped-layout,579,4183374,4102580,98.07
useless-suggestion,576,4183374,4103156,98.08
clean-gym,575,4183374,4104306,98.11
unpleasant-surprise,575,4183374,4104306,98.11
friendly-kid,570,4183374,4104876,98.12
loyal-customer,566,4183374,4105442,98.14
dirty-glass,564,4183374,4106570,98.16
friendly-host,564,4183374,4106570,98.16
available-outlet,556,4183374,4107126,98.18
small-gesture,555,4183374,4107681,98.19
great-perk,551,4183374,4108783,98.22
poor-impression,551,4183374,4108783,98.22
great-pressure,545,4183374,4109328,98.23
dirty-terrace,544,4183374,4110960,98.27
disruptive-child,544,4183374,4110960,98.27
extra-pillow,544,4183374,4110960,98.27
bad-key,543,4183374,4112046,98.29
genuine-care,543,4183374,4112046,98.29
